atten_LIV_lambda_1,atten_LIV_lambda_2,atten_LIV_lambda_3,atten_LIV_lambda_4,atten_LIV_lambda_5,atten_LIV_lambda_6,atten_LIV_lambda_7,energy
0.0068430640881919835,1.3169982207888896e-06,4.445461662613832e-09,2.8750351052144026e-12,1.6249567031504527e-13,5.004815680586168e-15,1.888876221569602e-15,27980991862057.785
0.007990363563203227,1.5724273733010707e-06,4.8848944982185986e-09,2.6164451417638687e-12,1.3448946050539742e-13,3.640165155614487e-15,1.3216377096068677e-15,28206143237601.62
0.009313551823159575,1.888077574057301e-06,5.417454716247143e-09,2.3963079469810363e-12,1.1177628360935361e-13,2.6472649592150257e-15,9.229807653108196e-16,28433106312393.26
0.010835116973888597,2.2808604104332787e-06,6.051449120797206e-09,2.209207275102935e-12,9.32864475968738e-14,1.92452655160328e-15,6.436405344731275e-16,28661895664421.09
0.012579565563732948,2.768661508846345e-06,6.851380081613718e-09,2.050655897875813e-12,7.820219970944255e-14,1.3991848376349511e-15,4.480288878047613e-16,28892525988976.844
0.014572765441874204,3.3906570552101795e-06,7.782519057561892e-09,1.9165988744633273e-12,6.587059368225612e-14,1.0173984242381385e-15,3.112988631962868e-16,29125012099598.793
0.016842002100468104,4.151142743935193e-06,8.895362313459755e-09,1.8043569955947496e-12,5.574322397265928e-14,7.396211441721486e-16,2.1599608931019328e-16,29359368929023.684
0.01941519406328802,5.098000489859834e-06,1.0245342840657922e-08,1.7116413971429959e-12,4.7410079618209145e-14,5.378596165360706e-16,1.4966977535688133e-16,29595611530145.656
0.02232121168934179,6.2819319077078686e-06,1.1889210432171847e-08,1.6358003682678718e-12,4.053030100300252e-14,3.913126984030063e-16,1.0360806979035671e-16,29833755076983.57
0.025592108436392653,7.768779020916688e-06,1.3899501893898392e-08,1.5746749104044567e-12,3.482467109288954e-14,2.84959912885515e-16,7.164769311666487e-17,30073814865654.934
0.029259939000514146,9.639224786606126e-06,1.6369917609308668e-08,1.5273992711572023e-12,3.0086128958030205e-14,2.0769706064823017e-16,4.94567006765121e-17,30315806315358.727
0.03335477298016846,1.1996366911065114e-05,1.9423203675152846e-08,1.49345701406545e-12,2.614822601132347e-14,1.514067218839167e-16,3.407692034762898e-17,30559744969366.168
0.03791080918566131,1.4972392251048332e-05,2.3217944479809117e-08,1.4725346220899756e-12,2.286667044413492e-14,1.1040486757534954e-16,2.345301544273984e-17,30805646496018.33
0.04295583838188757,1.87348153037791e-05,2.7954474892830833e-08,1.4643031561193195e-12,2.0127861882149275e-14,8.059035317746194e-17,1.61287064959407e-17,31053526689733.004
0.04851516889060867,2.3497030626927635e-05,3.38974484869064e-08,1.4688611758712647e-12,1.7825282150756392e-14,5.891201472376174e-17,1.1087883462326926e-17,31303401472019.098
0.05461884560823698,2.9528079984176e-05,4.139041542524554e-08,1.485875146723756e-12,1.5888693976336146e-14,4.3134585539093156e-17,7.61211444504805e-18,31555286892499.117
0.06128983660095605,3.717175543461225e-05,5.08819093874412e-08,1.5163500469221528e-12,1.4261183607958302e-14,3.1619757315824155e-17,5.220273474207808e-18,31809199129940.582
0.06854941870370775,4.685141957827657e-05,6.29529937686397e-08,1.5613632971462334e-12,1.2892172607293082e-14,2.320987879546069e-17,3.576371548476556e-18,32065154493294.293
0.07641627782420964,5.909836170141696e-05,7.837897456077798e-08,1.622442068798712e-12,1.1740436864521114e-14,1.706644454813779e-17,2.4480645538341705e-18,32323169422742.9
0.08489822741045619,7.461009268727728e-05,9.81594063222109e-08,1.701701727250072e-12,1.0771511187180419e-14,1.2569323878760225e-17,1.675071754753584e-18,32583260490755.945
0.0940116175217834,9.426834719140064e-05,1.236355572125744e-07,1.801623885003175e-12,9.958602893407679e-15,9.27707389127236e-18,1.1455203541057752e-18,32845444403154.87
0.1037542223895768,0.00011911129840250799,1.5657498728340342e-07,1.925631527644552e-12,9.281552272355421e-15,6.863449143172031e-18,7.826069126037691e-19,33109738000185.89
0.11418179608669561,0.00015050684614112333,1.9934153723758912e-07,2.0777081568393456e-12,8.72420538169924e-15,5.086437246915309e-18,5.345250708312323e-19,33376158257601.52
0.12536349058138996,0.000190102401082714,2.5508245697094126e-07,2.2630591782444837e-12,8.270673489215078e-15,3.778388447019018e-18,3.648602451894593e-19,33644722287751.49
0.13712775227909701,0.0002399702117896154,3.279601362350183e-07,2.488544293834383e-12,7.906617132069287e-15,2.8152212843972674e-18,2.4900984964722917e-19,33915447340681.066
0.149519071720151,0.0003026385390938248,4.2356437925494354e-07,2.763541718774886e-12,7.623556542561152e-15,2.1031630058109055e-18,1.6989499342807856e-19,34188350805239.43
0.16239868647276337,0.000381234152819379,5.491147395314136e-07,3.100019822788397e-12,7.416434424133094e-15,1.5753783964974148e-18,1.1583507143786663e-19,34463450210197.004
